Fecha;Competición;Temporada;MD;Equipo local;Resultado;Equipo visitante;táctica
11/10/2021;Eliminatorias Sudamericanas Catar 2022 ;2021 ;Fase de Grupos ;Argentina;03:00;Uruguay;4/4/2002
8/10/2021;Eliminatorias Sudamericanas Catar 2022 ;2021 ;Fase de Grupos ;Paraguay;00:00;Argentina;4/4/2002
10/9/2021;Eliminatorias Sudamericanas Catar 2022 ;2021 ;Fase de Grupos ;Argentina;03:00;Bolivia;4/4/2002
3/9/2021;Eliminatorias Sudamericanas Catar 2022 ;2021 ;Fase de Grupos ;Venezuela;01:03;Argentina;4/4/2002
11/7/2021; Copa América 2021 ;2021 ;Final ;Argentina;01:00;Brasil;4-4-2 doble pivote
7/7/2021; Copa América 2021 ;2021 ;Semifinal ;Argentina;04:03;Colombia;4-3-3 ofensivo
4/7/2021; Copa América 2021 ;2021 ;Cuartos ;Argentina;03:00;Ecuador;4-3-3 ofensivo
29/6/2021; Copa América 2021 ;2021 ;Fase de Grupos ;Argentina;04:01;Bolivia;4-2-3-1
22/6/2021; Copa América 2021 ;2021 ;Fase de Grupos ;Argentina;01:00;Paraguay;4-2-3-1
19/6/2021; Copa América 2021 ;2021 ;Fase de Grupos ;Argentina;01:00;Uruguay;4-3-3 ofensivo
14/6/2021; Copa América 2021 ;2021 ;Fase de Grupos ;Argentina;01:01;Chile;4-3-3 ofensivo
9/6/2021;Eliminatorias Sudamericanas Catar 2022 ;2021 ;Fase de Grupos ;Colombia;02:02;Argentina;4-3-3 ofensivo
4/6/2021;Eliminatorias Sudamericanas Catar 2022 ;2021 ;Fase de Grupos ;Argentina;01:01;Chile;4/4/2002
18/11/2020;Eliminatorias Sudamericanas Catar 2022 ;2021 ;Fase de Grupos ;Perú;00:02;Argentina;4-4-2 doble pivote
13/11/2020;Eliminatorias Sudamericanas Catar 2022 ;2021 ;Fase de Grupos ;Argentina;01:01;Paraguay;4-2-3-1
13/10/2020;Eliminatorias Sudamericanas Catar 2022 ;2021 ;Fase de Grupos ;Bolivia;01:02;Argentina;4-3-3 ofensivo
9/10/2020;Eliminatorias Sudamericanas Catar 2022 ;2021 ;Fase de Grupos ;Argentina;01:00;Ecuador;4-3-2-1
18/11/2019; Partidos amistosos ;19/20 ;10 ;Argentina;02:02;Uruguay;4-3-3 ofensivo
15/11/2019; Partidos amistosos ;19/20 ;10 ;Brasil;00:01;Argentina;4-4-2 doble pivote
13/10/2019; Partidos amistosos ;19/20 ;3 ;Argentina;06:01;Ecuador;4-4-2 doble pivote
9/10/2019; Partidos amistosos ;19/20 ;2 ;Alemania;02:02;Argentina;4-2-3-1
11/9/2019; Partidos amistosos ;19/20 ;6 ;Argentina;04:00;México;4-3-3 ofensivo
6/9/2019; Partidos amistosos ;19/20 ;6 ;Chile;00:00;Argentina;4-3-3 ofensivo
6/7/2019; Copa América 2019 ;2019 ;Partido por el tercer puesto ;Argentina;02:01;Chile;4-3-3 ofensivo
3/7/2019; Copa América 2019 ;2019 ;Semifinal ;Brasil;02:00;Argentina;4-4-2 rombo
28/6/2019; Copa América 2019 ;2019 ;Cuartos ;Venezuela;00:02;Argentina;4-4-2 rombo
23/6/2019; Copa América 2019 ;2019 ;Fase de Grupos ;Catar;00:02;Argentina;4-3-1-2
20/6/2019; Copa América 2019 ;2019 ;Fase de Grupos ;Argentina;01:01;Paraguay;4/4/2002
16/6/2019; Copa América 2019 ;2019 ;Fase de Grupos ;Argentina;00:02;Colombia;4-4-2 doble pivote
8/6/2019; Partidos amistosos ;18/19 ;16 ;Argentina;05:01;Nicaragua;4-2-3-1
26/3/2019; Partidos amistosos ;18/19 ;45 ;Marruecos;00:01;Argentina;4-4-2 doble pivote
22/3/2019; Partidos amistosos ;18/19 ;8 ;Venezuela;03:01;Argentina;3-4-3 en línea
21/11/2018; Partidos amistosos ;18/19 ;15 ;Argentina;02:00;México;4-3-3 ofensivo
17/11/2018; Partidos amistosos ;18/19 ;15 ;Argentina;02:00;México;3-4-2-1
16/10/2018; Partidos amistosos ;18/19 ;9 ;Brasil;01:00;Argentina;4-3-3 ofensivo
11/10/2018; Partidos amistosos ;18/19 ;8 ;Argentina;04:00;Irak;4-3-3 ofensivo
12/9/2018; Partidos amistosos ;18/19 ;8 ;Argentina;00:00;Colombia;4-3-3 ofensivo
8/9/2018; Partidos amistosos ;18/19 ;14 ;Guatemala;00:03;Argentina;4-3-3 ofensivo
